Population,Locality,Municipality,County,Latitude,Longitude,X-Sweref99TM,Y-Sweref99TM
4457,"Arvidsjaur",Arvidsjaur,Norrbotten,65.5915,19.1793,692600.43,7280783.23
4440,"Torsby",Torsby,Värmland,60.1365,13.0133,389651.86,6668268.23
4426,"Vara",Vara,Västra Götaland,58.2623,12.9622,380439.06,6459720
4401,"Borgholm",Borgholm,Kalmar,56.884,16.694,603221.31,6305752.01
4370,"Lidköping norra",Lidköping,Västra Götaland,58.5336,13.1244,390799.67,6489648.86
4321,"Edsbyn",Ovanåker,Gävleborg,61.3834,15.8139,543488.66,6805761.19
4310,"Bara",Svedala,Skåne,55.5809,13.1764,385043.28,6160943.96
4279,"Skillingaryd",Vaggeryd,Jönköping,57.4414,14.0871,445200.77,6366893.58
4216,"Svalöv",Svalöv,Skåne,55.9157,13.1037,381480.05,6198320.95
4206,"Mariefred",Strängnäs,Södermanland,59.2644,17.2204,626572.42,6571605.14
4201,"Munkedal",Munkedal,Västra Götaland,58.4769,11.6779,306297.73,6486601.41
4198,"Mellbystrand",Laholm,Halland,56.4834,12.9344,372798.19,6261796.17
4195,"Askersund",Askersund,Örebro,58.8867,14.9204,495409.56,6527443.37
4157,"Oskarström",Halmstad,Halland,56.8088,12.9628,375623.31,6297947.89
4146,"Olofstorp",Göteborg,Västra Götaland,57.7962,12.1463,330390.62,6409592.72
4124,"Vinslöv",Hässleholm,Skåne,56.0981,13.9045,431849.56,6217537.62
4119,"Herrljunga",Herrljunga,Västra Götaland,58.0803,13.0351,384128.72,6439331.53
4072,"Hyltebruk",Hylte,Halland,57.0034,13.2395,393071.21,6319142.21
4039,"Ljungskile",Uddevalla,Västra Götaland,58.2245,11.9257,319455.82,6457824.52
4034,"Svärtinge",Norrköping,Östergötland,58.6573,16.0077,558465.12,6502335.18
4033,"Brunna",Upplands-Bro,Stockholm,59.5071,17.7386,654990.36,6599710.46
4018,"Skärblacka",Norrköping,Östergötland,58.5839,15.8877,551613.86,6494065.07
4003,"Mörrum",Karlshamn,Blekinge,56.2034,14.7463,484261.87,6228742.55
3991,"Mellerud",Mellerud,Västra Götaland,58.6988,12.4588,352748.86,6509306.03
3986,"Hofterup",Kävlinge,Skåne,55.8043,12.9787,373310.75,6186146.92
3981,"Ösmo",Nynäshamn,Stockholm,58.9845,17.8991,666600.7,6541942.72
3976,"Vagnhärad",Trosa,Södermanland,58.9457,17.4847,642958.07,6536665.17
3973,"Mantorp",Mjölby,Östergötland,58.3562,15.2819,516498.27,6468405.89
3933,"Vallda",Kungsbacka,Halland,57.4766,11.9802,318942.18,6374461.13
3892,"Dalsjöfors",Borås,Västra Götaland,57.7192,13.1085,387330.52,6399016.26
3884,"Lilla Edet",Lilla Edet,Västra Götaland,58.132,12.1345,331278.58,6446988.43
3875,"Skultorp",Skövde,Västra Götaland,58.3413,13.8337,431718.37,6467300.97
3846,"Kisa",Kinda,Östergötland,57.9856,15.6317,537352.03,6427286.56
3844,"Ursviken",Skellefteå,Västerbotten,64.7078,21.1772,794112.63,7190240.33
3830,"Sjömarken och Viared",Borås,Västra Götaland,57.7026,12.8288,370613.1,6397667.65
3773,"Svenljunga",Svenljunga,Västra Götaland,57.4959,13.1079,386603.4,6374172.34
3761,"Bergnäset",Luleå,Norrbotten,65.5721,22.102,827174.74,7290713.11
3749,"Karlsborg",Karlsborg,Västra Götaland,58.5406,14.5071,471306.35,6489001.13
3730,"Smedby",Kalmar,Kalmar,56.6769,16.2481,576475.42,6282112.16
3713,"Häljarp",Landskrona,Skåne,55.8535,12.9133,369374.22,6191744.85
3692,"Strömsund",Strömsund,Jämtland,63.8541,15.5789,528460.56,7080881.83
3684,"Viskafors",Borås,Västra Götaland,57.6224,12.8296,370374.58,6388748.61
3678,"Skärhamn",Tjörn,Västra Götaland,57.9807,11.5604,296632.43,6431734.53
3668,"Aneby",Aneby,Jönköping,57.8416,14.8085,488629.17,6411094.65
3636,"Stenhamra",Ekerö,Stockholm,59.3345,17.6914,653100.41,6580389.45
3603,"Tygelsjö",Malmö,Skåne,55.5207,12.997,373546.04,6154562.16
3561,"Broby",Östra Göinge,Skåne,56.2572,14.0765,442785.63,6235087.67
3556,"Hammar",Kristianstad,Skåne,56.0244,14.2054,450477.41,6209082.59
3552,"Åre",Åre,Jämtland,63.3959,12.8846,394315.38,7031442.89
3517,"Rödeby",Karlskrona,Blekinge,56.2655,15.6082,537671.31,6235797.06
3470,"Munka-Ljungby",Ängelholm,Skåne,56.2631,12.9704,374287.43,6237215.89
3469,"Höviksnäs",Tjörn,Västra Götaland,58.0358,11.7466,307932.23,6437328.11
3449,"Tollarp",Kristianstad,Skåne,55.9363,13.9854,436621.32,6199452.67
3447,"Sävast",Boden,Norrbotten,65.7642,21.7266,807642.55,7310116.49
3437,"Iggesund",Hudiksvall,Gävleborg,61.6445,17.0849,610456.75,6836343.76
3417,"Årjäng",Årjäng,Värmland,59.3838,12.1343,337228.8,6586296.7
3412,"Matfors",Sundsvall,Västernorrland,62.3443,17.0218,604689.23,6914176.31
3403,"Skultuna",Västerås,Västmanland,59.718,16.4331,580609.39,6620882.2
3400,"Björklinge",Uppsala,Uppsala,60.0316,17.5528,642229.14,6657678.58
3398,"Sandared",Borås,Västra Götaland,57.7132,12.7858,368090.14,6398934.15
3394,"Hällbybrunn",Eskilstuna,Södermanland,59.3924,16.423,580817.27,6584613.79
3390,"Skänninge",Mjölby,Östergötland,58.3905,15.0864,505050.91,6472187.07
3382,"Knislinge",Östra Göinge,Skåne,56.196,14.085,443224.22,6228266.78
3369,"Ekeby",Bjuv,Skåne,56.0003,12.9674,373243.6,6207978.06
3356,"Vilhelmina",Vilhelmina,Västerbotten,64.6235,16.6591,579329.42,7167535.9
3334,"Tranemo",Tranemo,Västra Götaland,57.4892,13.3478,400958.16,6373048.45
3334,"Tallboda",Linköping,Östergötland,58.4244,15.6824,539855.14,6476164.77
3328,"Boxholm",Boxholm,Östergötland,58.1931,15.0465,502732.89,6450215.06
3319,"Nättraby",Karlskrona,Blekinge,56.1988,15.5379,533375.41,6228331.81
3291,"Sturefors",Linköping,Östergötland,58.3354,15.7226,542311.6,6466278.83
3285,"Frillesås",Kungsbacka,Halland,57.3062,12.1707,329569.25,6355010.37
3267,"Älvåker och Råtorp",Karlstad,Värmland,59.4106,13.4859,414053.71,6586751.1
3224,"Bengtsfors",Bengtsfors,Västra Götaland,59.0308,12.2161,340231.4,6546805.5
3213,"Skelleftehamn",Skellefteå,Västerbotten,64.6861,21.245,797569,7188146.79
3212,"Resarö",Vaxholm,Stockholm,59.4314,18.3294,688833.55,6592815.67
3203,"Laxå",Laxå,Örebro,58.9819,14.6215,478241.51,6538097.65
3202,"Hovmantorp",Lessebo,Kronoberg,56.7841,15.1386,508465.93,6293361.72
3197,"Tingsryd",Tingsryd,Kronoberg,56.5271,14.9723,498297.36,6264750.39
3186,"Linghem",Linköping,Östergötland,58.4307,15.7892,546088.18,6476932.97
3150,"Tenhult",Jönköping,Jönköping,57.7074,14.3248,459764.97,6396333.64
3110,"Genarp",Lund,Skåne,55.599,13.3949,398864.9,6162614.66
3098,"Hindås",Härryda,Västra Götaland,57.7101,12.4533,348270.47,6399285.28
3093,"Borensberg",Motala,Östergötland,58.5594,15.2647,515401.65,6491019.99
3090,"Södra Sunderbyn",Luleå,Norrbotten,65.6592,21.9367,818515.87,7299515.47
3084,"Grästorp",Grästorp,Västra Götaland,58.3322,12.6808,364204.19,6468037.81
3064,"Sticklinge udde",Lidingö,Stockholm,59.3851,18.11,676638.08,6587062.74
3059,"Lessebo",Lessebo,Kronoberg,56.7528,15.2692,516463.27,6289900.59
